plntid;binary;plntmass;plntradius;period;smaxis;plnttemp;plntage;discmeth;discyear;ra;dec;distsun;strmass;strradius;strmetal;strtemp;strage;inhabitzone
HD 11506 b;0;4,21;NA;1627,5;2,708;200,7;NA;RV;2007;28,2105625;-19,506975;51,7;1,19;1,33;0,31;6058;NA;FALSE
HD 11506 c;0;0,36;NA;223,6;0,721;388;NA;RV;2009;28,2105625;-19,506975;51,7;1,19;1,33;0,31;6058;NA;FALSE
OGLE-2012-BLG-0358L b;0;1,85;NA;NA;0,87;NA;NA;microlensing;2013;265,695833333333;-24,2511111111111;1760;0,022;NA;NA;NA;NA;FALSE
PH-2 b;0;NA;0,922238;282,5255;0,828;281;NA;transit;2013;289,7625;51,9511111111111;369,8;0,94;1;-0,07;6529;NA;TRUE
Kepler-197 c;0;NA;0,11209;10,349695;0,089;NA;NA;transit;2014;295,226395833333;50,5589861111111;313,87;0,864;1,12;NA;6004;NA;FALSE
Kepler-197 d;0;NA;0,11118;15,677563;0,117;NA;NA;transit;2014;295,226395833333;50,5589861111111;313,87;0,864;1,12;NA;6004;NA;FALSE
Kepler-197 b;0;NA;0,09295;5,599308;0,059;NA;NA;transit;2014;295,226395833333;50,5589861111111;313,87;0,864;1,12;NA;6004;NA;FALSE
Kepler-197 e;0;NA;0,08293;25,209715;0,16;NA;NA;transit;2014;295,226395833333;50,5589861111111;313,87;0,864;1,12;NA;6004;NA;FALSE
CoRoT-6 b;0;2,96;1,166;8,886593;0,0855;929,2;NA;transit;2009;281,075;6,65111111111111;NA;1,05;1,025;-0,2;6090;NA;FALSE
HD 221287 b;0;3,09;NA;456,1;1,25;259;NA;RV;2007;352,833333333333;-58,2008333333333;52,9;1,25;NA;0,03;6304;NA;TRUE
tau Boo A b;1;6,13;NA;3,3124568;0,049;2000;NA;RV;1996;206,8155975;17,4569042222222;15,62;1,39;1,42;0,26;6399;0,9;FALSE
WASP-53 b;0;2,5;1,2;3,3;0,0433843886134913;NA;NA;transit;2011;NA;NA;NA;NA;NA;NA;5700;NA;FALSE
HIP 13044 b;0;1,25;NA;16,2;0,116;2011;NA;RV;2010;41,9041666666667;-36,1005555555556;701;0,8;6,7;-2,09;6025;NA;FALSE
HD 45652 b;0;0,47;NA;43,6;0,23;472,4;NA;RV;2008;97,3041666666667;10,9333333333333;36;0,83;NA;0,29;5312;NA;FALSE
OGLE235-MOA53 b;0;2,6;NA;NA;5,1;NA;NA;microlensing;2004;271,316666666667;-28,8844444444444;5200;0,63;NA;NA;5700;NA;FALSE
Kepler-301 b;0;NA;0,12303;2,508553;0,0365047291931487;NA;NA;transit;2014;283,979166666667;49,2180555555556;734,49;0,97;0,9;NA;5815;NA;FALSE
Kepler-301 d;0;NA;0,15948;13,751243;0,113491041454873;NA;NA;transit;2014;283,979166666667;49,2180555555556;734,49;0,97;0,9;NA;5815;NA;FALSE
Kepler-301 c;0;NA;0,12303;5,419026;0,0610025187037268;NA;NA;transit;2014;283,979166666667;49,2180555555556;734,49;0,97;0,9;NA;5815;NA;FALSE
HD 107148 b;0;0,21;NA;48,056;0,269;537,4;NA;RV;2006;184,804166666667;-3,31694444444444;51,3;1,12;NA;0,314;5797;NA;FALSE
Kepler-185 c;0;NA;0,18408;20,729042;0,160935002606638;NA;NA;transit;2014;282,466666666667;43,8838888888889;575,07;0,773;0,806;NA;5208;NA;FALSE
Kepler-185 b;0;NA;0,10662;1,6329;0,0295735924132981;NA;NA;transit;2014;282,466666666667;43,8838888888889;575,07;0,773;0,806;NA;5208;NA;FALSE
HD 22781 b;0;13,65;NA;528,07;1,167;167;NA;RV;2011;55,2083333333333;31,8175;31,79;0,75;NA;-0,37;5027;NA;FALSE
Kepler-140 b;0;NA;0,14672;3,25427;0,0403698826276459;NA;NA;transit;2014;287,366666666667;46,7666666666667;638,17;1,207;1,288;NA;6077;NA;FALSE
Kepler-140 c;0;NA;0,16403;91,353282;0,372881812908556;NA;NA;transit;2014;287,366666666667;46,7666666666667;638,17;1,207;1,288;NA;6077;NA;FALSE
Kepler-67 b;0;NA;0,267923;15,7259;0,1171;NA;NA;transit;2013;294,154166666667;46,1513888888889;1107;0,865;0,778;0,012;5331;1;FALSE
Kepler-50 b;0;0,015963;0,155832;7,81254;0,077;NA;NA;transit;2012;288,1;50,0333333333333;269,79;1,24;1,58;0,03;6225;3,8;FALSE
Kepler-50 c;0;0,026041;0,1977527;9,37647;0,087;NA;NA;transit;2012;288,1;50,0333333333333;269,79;1,24;1,58;0,03;6225;3,8;FALSE
HD 1502 b;0;3,1;NA;431,8;1,31;412,3;NA;RV;2011;4,82083333333333;14,0502777777778;159;1,61;4,5;0,09;5049;NA;FALSE
HD 175541 b;0;0,61;NA;297,3;1,03;428,3;NA;RV;2007;283,920833333333;4,25138888888889;128;1,65;3,85;-0,07;5060;NA;FALSE
OGLE-2013-BLG-0341L B b;1;0,005222;NA;NA;0,702;NA;NA;microlensing;2014;268,029166666667;-29,8344444444444;911;0,1127;NA;NA;NA;NA;FALSE
42 Dra b;0;3,88;NA;479,1;1,19;NA;NA;RV;2009;276,496405583333;65,5634802222222;96,5;0,98;22,03;-0,46;4200;9,49;TRUE
HD 99109 b;0;0,502;NA;439,3;1,105;231,3;NA;RV;2006;171,070833333333;-1,51777777777778;60,5;0,93;NA;0,315;5272;NA;TRUE
HD 136352 b;0;0,0166;NA;11,577;0,0933;842,3;NA;RV;2011;230,45;-48,3166666666667;14,8;NA;NA;NA;5940;NA;FALSE
HD 136352 c;0;0,0358;NA;27,582;0,1665;630,8;NA;RV;2011;230,45;-48,3166666666667;14,8;NA;NA;NA;5940;NA;FALSE
HD 136352 d;0;0,03;NA;106,72;0,411;397,3;NA;RV;2011;230,45;-48,3166666666667;14,8;NA;NA;NA;5940;NA;FALSE
HD 86226 b;0;0,92;NA;1695;2,84;154;NA;RV;2010;149,125;-24,0847222222222;42,48;1,06;1,02;0,05;5940;1,5;FALSE
HD 125595 b;0;0,042;NA;9,6737;0,0809;584,9;NA;RV;2009;215,345833333333;-40,3841666666667;27,4;0,756;NA;0,02;4908;NA;FALSE
Kepler-424 b;0;NA;0,89;3,3118644;0,044;1143;NA;transit;2014;298,620833333333;48,5675;661,72;1,01;0,94;0,44;5460;12,2;FALSE
Kepler-424 c;0;6,97;NA;223,3;0,73;NA;NA;RV;2014;298,620833333333;48,5675;661,72;1,01;0,94;0,44;5460;12,2;TRUE
Kepler-236 c;0;NA;0,18226;23,968127;0,198711410015791;NA;NA;transit;2014;283,8625;39,8847222222222;293,01;0,549;0,51;NA;3750;NA;FALSE
Kepler-236 b;0;NA;0,14307;8,295611;0,0979562895049249;NA;NA;transit;2014;283,8625;39,8847222222222;293,01;0,549;0,51;NA;3750;NA;FALSE
Kepler-231 c;0;NA;0,17588;19,271566;0,168704316616437;NA;NA;transit;2014;293,970833333333;50,5180555555556;280,31;0,58;0,49;NA;3767;NA;FALSE
Kepler-231 b;0;NA;0,15766;10,065275;0,109412083235944;NA;NA;transit;2014;293,970833333333;50,5180555555556;280,31;0,58;0,49;NA;3767;NA;FALSE
Oph 11 B;0;21;NA;NA;NA;2478;NA;imaging;2007;245,604166666667;-24,0836111111111;145;0,051;NA;NA;2838;NA;FALSE
CoRoT-14 b;0;7,6;1,09;1,51214;0,027;1781,4;NA;transit;2010;103,425;-5,53361111111111;1340;1,13;1,21;0,05;6035;NA;FALSE
Kepler-332 b;0;NA;0,10662;7,626324;0,0758346505318913;NA;NA;transit;2014;286,6625;47,4011111111111;379,55;NA;0,72;NA;4955;NA;FALSE
Kepler-332 c;0;NA;0,09933;15,995622;0,12425816717149;NA;NA;transit;2014;286,6625;47,4011111111111;379,55;NA;0,72;NA;4955;NA;FALSE
Kepler-332 d;0;NA;0,10753;34,21154;0,206271521014268;NA;NA;transit;2014;286,6625;47,4011111111111;379,55;NA;0,72;NA;4955;NA;FALSE
WASP-75 b;0;1,07;1,27;2,484193;0,0375;1710;NA;transit;2013;342,3875;-10,6675;260;1,14;1,26;0,07;6100;NA;FALSE
Gliese 163 b;0;0,033344;NA;8,63182;0,0607;NA;NA;RV;2012;62,3166666666667;-53,3672222222222;15;0,4;NA;NA;NA;5,5;FALSE
Gliese 163 c;0;0,021391;NA;25,63058;0,1254;302;NA;RV;2012;62,3166666666667;-53,3672222222222;15;0,4;NA;NA;NA;5,5;FALSE
Gliese 163 d;0;0,092484;NA;NA;1,0304;NA;NA;RV;2013;62,3166666666667;-53,3672222222222;15;0,4;NA;NA;NA;5,5;FALSE
Kepler-291 b;0;NA;0,19684;3,546511;0,0453681710038498;NA;NA;transit;2014;287,9125;42,4336111111111;1899,9;1,01;1,016;NA;6002;NA;FALSE
Kepler-291 c;0;NA;0,17132;5,700786;0,0622549023264831;NA;NA;transit;2014;287,9125;42,4336111111111;1899,9;1,01;1,016;NA;6002;NA;FALSE
Kepler-100 c;0;NA;0,200487;12,8159;0,11;NA;NA;transit;2014;291,383333333333;41,9838888888889;296,6;1,08;1,49;0,02;5825;6,46;FALSE
Kepler-100 b;0;0,0231;0,120292;6,88705;0,0727;NA;NA;transit;2014;291,383333333333;41,9838888888889;296,6;1,08;1,49;0,02;5825;6,46;FALSE
Kepler-100 d;0;NA;0,14672;35,3331;0,216;NA;NA;transit;2014;291,383333333333;41,9838888888889;296,6;1,08;1,49;0,02;5825;6,46;FALSE
Kepler-406 b;0;0,019975;0,130316;2,42629;0,0345534488201236;NA;NA;transit;2014;291,85;44,9666666666667;353,6;1,07;1,07;0,18;5538;5,84;FALSE
Kepler-406 c;0;0,008525;0,077461;4,62332;0,0531086870632001;NA;NA;transit;2014;291,85;44,9666666666667;353,6;1,07;1,07;0,18;5538;5,84;FALSE
Kepler-24 c;0;NA;0,36179;12,33336;0,103795470852317;NA;NA;transit;2014;290,4125;38,3341666666667;1462,04;1,02;1,289;NA;5897;NA;FALSE
